Iteration	L1	L1 %	L2	L2 %	KL Divergence
612	10.641	72.887	3.074	47.686	0.681
613	10.335	74.789	3.168	48.71	0.669
614	12.455	83.272	3.906	53.849	0.715
615	10.286	73.896	3.155	47.44	0.667
616	11.671	81.445	3.725	52.665	0.751
617	10.923	80.004	3.251	52.293	0.767
618	12.437	81.859	3.971	53.515	0.712
619	11.436	81.738	3.561	52.491	0.789
620	9.865	70.07	3.041	45.486	0.647
621	11.479	73.851	3.254	48.35	0.658
622	11.63	76.908	3.566	50.656	0.678
623	10.142	76.137	3.145	49.11	0.732
624	12.006	76.247	3.516	48.791	0.665
625	12.107	78.694	3.581	51.136	0.707
626	9.983	73.037	3.009	47.923	0.69
627	10.444	78.263	3.251	52.583	0.695
628	10.626	79.078	3.088	50.429	0.729
629	10.482	73.61	3.164	48.379	0.674
