Iteration	L1	L1 %	L2	L2 %	KL Divergence
510	160.316	15.554	56.333	10.339	0.053
511	164.42	16.013	58.169	10.775	0.055
512	160.799	15.31	56.493	9.954	0.052
513	165.375	15.663	59.2	10.376	0.052
514	157.796	15.182	55.759	10.088	0.05
515	159.893	15.403	56.733	10.259	0.052
516	161.742	15.629	57.642	10.38	0.052
517	156.955	15.211	54.325	10.07	0.053
518	163.554	15.903	58.737	10.85	0.054
519	167.863	16.052	60.129	10.682	0.053
520	159.11	15.504	55.484	10.278	0.054
521	158.003	15.254	54.214	9.988	0.052
522	163.734	15.976	57.668	10.677	0.055
523	157.238	15.306	54.674	10.066	0.052
524	161.119	15.519	56.114	10.193	0.054
525	161.772	15.553	57.139	10.423	0.052
526	165.471	15.932	57.978	10.56	0.054
527	164.876	15.883	58.986	10.769	0.053
528	157.032	15.369	55.479	10.315	0.053
529	154.948	14.997	53.099	9.782	0.051
530	152.995	14.949	53.766	10.031	0.051
531	159.003	15.464	56.719	10.502	0.052
532	153.288	15.047	52.771	9.86	0.053
533	159.09	15.501	56.675	10.465	0.052
534	157.664	15.44	54.44	10.188	0.053
535	159.61	15.491	56.017	10.342	0.054
536	160.511	15.465	57.542	10.27	0.051
537	157.259	15.171	55.265	10.028	0.05
538	158.059	15.385	55.876	10.257	0.053
539	161.124	15.597	57.19	10.355	0.054
540	164.142	15.917	57.621	10.559	0.054
541	158.639	15.47	55.167	10.139	0.052
542	161.395	15.554	56.407	10.275	0.053
543	157.042	14.958	53.888	9.727	0.051
544	156.672	15.371	54.681	10.315	0.053
545	157.28	15.071	56.525	10.099	0.05
546	160.683	15.503	56.571	10.328	0.052
547	166.765	16.351	60.133	11.109	0.056
548	152.9	15.13	53.029	10.118	0.052
549	157.281	15.327	54.937	10.211	0.052
550	161.914	15.921	57.781	10.881	0.053
551	156.267	15.178	54.457	9.866	0.051
552	159.273	15.389	55.941	10.14	0.051
553	153.68	14.658	53.008	9.623	0.049
554	156.956	15.243	55.067	10.217	0.052
555	158.134	15.219	56.238	10.112	0.052
556	161.634	15.634	56.814	10.385	0.054
557	163.69	15.969	59.229	10.882	0.054
558	161.946	15.818	57.194	10.606	0.054
559	155.327	14.879	53.965	9.75	0.051
560	161.63	15.542	58.054	10.529	0.05
561	163.221	15.64	58.159	10.428	0.053
562	161.396	15.506	57.234	10.271	0.053
563	159.046	15.485	55.291	10.2	0.053
564	160.872	15.434	57.426	10.409	0.052
565	161.051	15.563	57.238	10.476	0.053
566	159.082	15.557	56.041	10.354	0.053
567	157.16	15.243	55.413	10.177	0.053
568	156.507	15.106	55.04	10.006	0.052
569	160.065	15.257	56.481	10.157	0.052
570	166.961	16.019	60.494	10.856	0.053
571	159.932	15.377	55.464	10.003	0.053
572	157.048	15.284	54.851	10.041	0.053
573	155.157	14.668	53.177	9.412	0.051
574	153.601	14.928	52.776	9.776	0.051
575	159.169	15.291	56.038	10.178	0.052
576	159.197	15.63	56.574	10.595	0.052
577	159.467	15.299	57.361	10.358	0.052
578	167.546	16.074	60.719	10.837	0.054
579	157.326	15.193	55.374	10.021	0.051
580	155.486	15.029	53.131	9.81	0.052
581	160.169	15.806	55.739	10.484	0.054
582	158.443	15.548	57.188	10.687	0.052
583	159.318	15.464	56.744	10.333	0.051
584	162.124	15.736	56.825	10.527	0.055
585	154.917	15.095	53.83	9.934	0.051
586	161.588	15.577	56.239	10.167	0.053
587	161.282	15.449	59.175	10.446	0.05
588	161.378	15.49	57.218	10.483	0.052
589	162.718	15.599	57.257	10.251	0.054
590	161.594	15.687	57.171	10.437	0.053
591	154.013	14.838	54.357	9.881	0.051
592	163.706	15.54	58.086	10.356	0.052
593	156.964	15.283	55.69	10.185	0.051
594	165.879	16.011	59.516	10.792	0.055
595	162.899	15.641	57.796	10.494	0.053
596	164.399	15.969	61.222	11.164	0.052
597	164.49	15.871	58.785	10.67	0.053
598	168.847	16.291	60.828	10.938	0.054
599	159.689	15.584	55.94	10.459	0.054
600	162.484	15.553	57.87	10.346	0.052
601	158.915	15.429	55.807	10.264	0.053
602	162.566	15.925	58.054	10.723	0.053
603	158.078	15.037	57.037	10.103	0.05
604	159.354	15.489	56.477	10.324	0.053
605	164.747	15.977	59.322	10.886	0.052
606	163.622	15.716	57.018	10.496	0.054
607	151.41	14.731	52.016	9.702	0.052
608	159.337	15.31	56.851	10.254	0.051
609	163.794	15.634	58.003	10.344	0.051
